log_name,drift_id,change_type,drift_type,complexity,change_point,log_size,noise_level
without_noise__log_76_1692952523.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1179, 1765, 3121, 4586, 5250, 6506, 7495]",8782.0,without_noise
without_noise__log_77_1692952527.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual', 'incremental', 'incremental', 'incremental']",,"[1150, 2081, 3258, 3936, 4990, 6332, 7232, 8267, 9297, 10336]",11493.0,without_noise
without_noise__log_78_1692952551.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1057, 1576]",2926.0,without_noise
without_noise__log_79_1692952552.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental']",,"[1364, 2681, 3924, 4512]",5651.0,without_noise
without_noise__log_7_1692952178.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1311, 2256, 3605, 4597, 5681, 6939, 8352, 9584, 10457, 11681, 12486, 13960, 14957, 16422, 17190]",18268.0,without_noise
without_noise__log_80_1692952554.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1043, 2139, 2799, 3922, 4435]",5487.0,without_noise
without_noise__log_81_1692952556.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1270, 2223, 3514, 4835, 5383]",6879.0,without_noise
without_noise__log_82_1692952560.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1360, 1891, 3328, 4126, 5282, 6014]",7045.0,without_noise
without_noise__log_83_1692952563.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'sudden', 'gradual', 'gradual']",,"[1140, 2294, 3652, 5073, 6291, 6948]",8345.0,without_noise
without_noise__log_84_1692952573.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental']",,"[1146, 2011, 3360, 4613]",5956.0,without_noise
without_noise__log_85_1692952576.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1459, 1990, 3383, 4503, 5074, 6148, 6878, 8310]",9789.0,without_noise
without_noise__log_86_1692952579.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1451, 2814, 3789, 5069, 6015, 7177, 8153, 9456]",10695.0,without_noise
without_noise__log_87_1692952585.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1372, 2863, 3391, 4735, 5393, 6760, 7388]",8852.0,without_noise
without_noise__log_88_1692952587.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1366, 2110, 3182, 3771]",5245.0,without_noise
without_noise__log_89_1692952588.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1231, 2194, 3370, 4789, 6034, 6961, 8392, 8969, 10160, 11100, 12512, 13171, 14519, 15691]",16826.0,without_noise
without_noise__log_8_1692952184.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental']",,"[1318, 2605, 3295, 4538]",5729.0,without_noise
without_noise__log_90_1692952603.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1042, 1748, 2855, 4089, 4623, 5847, 6623, 7991]",9169.0,without_noise
without_noise__log_91_1692952607.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1460, 2204, 3325, 3998, 5233]",6262.0,without_noise
without_noise__log_92_1692952610.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1496, 2990, 3497, 4700, 5462, 6515, 7455, 8576, 9153]",10548.0,without_noise
without_noise__log_93_1692952613.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'recurring', 'recurring', 'recurring']",,"[1019, 1564, 2739, 4083, 5315, 6443]",7645.0,without_noise
without_noise__log_94_1692952615.xes.gz,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1486, 2734, 3393]",4744.0,without_noise
without_noise__log_95_1692952617.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'sudden', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1156, 1959, 2970, 4425, 5628, 6797, 7689, 9067, 9689, 11170, 11993]",13236.0,without_noise
without_noise__log_96_1692952629.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1087, 2286, 3016, 4084, 4958, 5962, 6779]",7867.0,without_noise
without_noise__log_97_1692952631.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual']",,"[1365, 2387, 3660, 4381, 5395, 6560, 7200]",8199.0,without_noise
without_noise__log_98_1692952636.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1161, 2070, 3547, 4627, 5403, 6514, 7405, 8737, 9638]",11091.0,without_noise
without_noise__log_99_1692952644.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1091, 2218, 3016, 4029, 4956, 6397, 7026]",8290.0,without_noise
without_noise__log_9_1692952188.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1136, 2234, 3136, 4299, 4974]",6292.0,without_noise
with_noise_5__log_100_1692952649.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1399, 2176]",3391.0,with_noise_5
with_noise_5__log_10_1692952190.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual']",,"[1029, 1562, 2818, 4306, 5516, 6341]",7405.0,with_noise_5
with_noise_5__log_11_1692952195.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1228, 1853]",3059.0,with_noise_5
with_noise_5__log_12_1692952196.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1187, 2142, 3311, 3901, 5376, 6349]",7548.0,with_noise_5
with_noise_5__log_13_1692952198.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'sudden', 'recurring', 'recurring', 'recurring']",,"[1285, 2064, 3509, 4569, 6017, 7324, 8391, 9657]",10777.0,with_noise_5
with_noise_5__log_14_1692952206.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1181, 2047, 3186, 3975, 5113, 6441, 7617, 8917]",10369.0,with_noise_5
with_noise_5__log_15_1692952210.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'sudden', 'gradual', 'gradual']",,"[1116, 1697, 3004, 4092, 4699, 5989, 7446, 8227]",9714.0,with_noise_5
with_noise_5__log_16_1692952213.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring']",,"[1356, 2761, 3835, 4592, 5716, 6979, 8389, 9274, 10631, 11912, 13144]",14309.0,with_noise_5
with_noise_5__log_17_1692952221.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1444, 2772, 3489, 4826, 6062, 6751]",8012.0,with_noise_5
with_noise_5__log_18_1692952223.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1389, 2280, 3635, 4421, 5728, 7035, 7597, 8723, 9996]",11493.0,with_noise_5
with_noise_5__log_19_1692952228.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1474, 2389, 3492, 4788, 5647, 7050]",8136.0,with_noise_5
with_noise_5__log_1_1692952162.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1086, 1956]",3182.0,with_noise_5
with_noise_5__log_20_1692952238.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1357, 2105, 3482, 4422, 5484, 6787, 8017, 9381, 10872, 11904, 12802, 13833]",15047.0,with_noise_5
with_noise_5__log_21_1692952246.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1096, 1828, 3150, 4136, 5287, 5888]",6924.0,with_noise_5
with_noise_5__log_22_1692952248.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'sudden', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1244, 2280, 3281, 4625, 6029, 7290, 8171, 9596, 10320]",11616.0,with_noise_5
with_noise_5__log_23_1692952259.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1464, 2335, 3773, 4539, 5637, 6477, 7514, 8662, 9652, 10998, 11610, 12811]",13830.0,with_noise_5
with_noise_5__log_24_1692952266.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1144, 2334, 3230, 4730]",6037.0,with_noise_5
with_noise_5__log_25_1692952268.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1268, 1983, 3460, 4362, 5712, 6676, 7809, 8764, 10077, 10808]",12035.0,with_noise_5
with_noise_5__log_26_1692952272.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual']",,"[1263, 1769, 2996, 3623, 4914, 5584, 6650, 7268, 8328, 9041, 10411, 11880, 12742]",13993.0,with_noise_5
with_noise_5__log_27_1692952285.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1464, 2463, 3948, 5054, 5848]",7168.0,with_noise_5
with_noise_5__log_28_1692952287.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1456, 2546, 3808, 4591, 5837]",7138.0,with_noise_5
with_noise_5__log_29_1692952298.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1213, 1756, 2868, 4306, 5136, 6404, 7812, 9139, 10570, 11620, 12291, 13397]",14473.0,with_noise_5
with_noise_5__log_2_1692952163.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1130, 1950]",3069.0,with_noise_5
with_noise_5__log_30_1692952304.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1241, 2080]",3365.0,with_noise_5
with_noise_5__log_31_1692952304.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1438, 2870, 3391, 4545, 5871]",7173.0,with_noise_5
with_noise_5__log_32_1692952308.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1486, 2272, 3660, 4340, 5709, 6587, 7907, 8621, 9625, 10324, 11599]",12715.0,with_noise_5
with_noise_5__log_33_1692952312.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1422, 2484, 3325, 4734, 5708, 6899]",8281.0,with_noise_5
with_noise_5__log_34_1692952321.xes.gz,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1165, 2205, 2867]",4103.0,with_noise_5
with_noise_5__log_35_1692952322.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1452, 2862, 3554, 4954, 6341, 7205, 8282, 8926, 10355, 11253, 12328, 13284]",14533.0,with_noise_5
with_noise_5__log_36_1692952355.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1333, 2559, 3693, 4416, 5763, 6390, 7822, 8817, 10269, 11730, 12843, 13947, 14938]",15973.0,with_noise_5
with_noise_5__log_37_1692952363.xes.gz,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1282, 2321]",3605.0,with_noise_5
with_noise_5__log_38_1692952364.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1028, 1851, 3000, 4010, 4915, 6335, 7206, 8449, 9115]",10333.0,with_noise_5
with_noise_5__log_39_1692952369.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring']",,"[1365, 2662, 3350, 4753]",6145.0,with_noise_5
with_noise_5__log_3_1692952167.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1035, 1760]",3073.0,with_noise_5
with_noise_5__log_40_1692952371.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1129, 1871, 3306, 4382, 5293]",6360.0,with_noise_5
with_noise_5__log_41_1692952374.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1249, 1950, 3066, 4209, 5141]",6202.0,with_noise_5
with_noise_5__log_42_1692952376.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1465, 2388, 3805, 4827, 5718, 6808, 7871, 8414, 9656, 10599, 11897, 12538]",13916.0,with_noise_5
with_noise_5__log_43_1692952382.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1200, 1740, 3030, 4200, 5001]",6048.0,with_noise_5
with_noise_5__log_44_1692952384.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1079, 2333, 3288, 4492, 5972, 6979, 7946, 9293, 10347]",11511.0,with_noise_5
with_noise_5__log_45_1692952392.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring']",,"[1127, 2438, 2995, 4480]",5623.0,with_noise_5
with_noise_5__log_46_1692952395.xes.gz,"['drift_1', 'drift_1', 'drift_1']","['sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental']",,"[1416, 2620, 3913]",5351.0,with_noise_5
with_noise_5__log_47_1692952397.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1447, 2257]",3384.0,with_noise_5
